id,length_mi,junct1,junct2
0,9.466,1,17
1,6.357,2,11
2,0.021,3,4
3,2.025,4,16
4,0,4,5
5,5.8,4,14
6,2.283,6,31
7,6.142,7,11
10,3.427,10,35
11,0.39,10,13
12,0.02,10,11
58,1.219,55,65
568,0.044,656,657
696,0,806,807
8,6.208,8,46
9,0.021,9,10
22,0.176,20,22
23,0.116,20,22
326,0.535,396,404
697,0.364,807,816
13,2.315,12,23
35,2.529,29,47
508,0.122,590,590
635,0.167,730,732
751,0.026,876,879
14,4.693,15,27
15,0.236,16,19
16,0.296,16,19
59,2.337,56,63
856,0.167,989,993
17,6.775,17,128
63,0.324,61,66
2006,3.581,2347,2498
18,5.114,17,38
19,0.581,18,28
20,0.219,19,20
21,0.245,19,20
2007,2.975,2349,2397
24,2.251,21,41
25,0.262,22,24
26,0.264,22,24
27,0.178,23,25
28,0.144,23,25
64,0.274,62,69
538,1.318,616,656
857,0.462,990,995
29,9.293,23,115
30,0.027,24,25
31,0.028,24,25
36,3.853,32,77
858,0.045,991,993
859,0.086,993,996
32,3.31,26,50
33,0.84,28,30
34,7.348,28,113
50,1.299,45,55
51,5.869,46,121
52,0.657,47,57
2343,0,2703,2704
37,3.986,33,45
38,3.06,34,49
39,0.724,36,43
40,0,37,38
81,1.367,85,116
752,0.032,876,886
753,0,877,878
41,5.062,38,74
42,0.468,38,44
43,1.601,39,63
44,0.111,40,41
754,0.01,878,883
755,0.005,878,884
756,0.003,879,886
45,4.067,41,106
54,1.71,51,78
55,2.049,52,78
56,5.535,53,79
46,4.449,42,55
47,3.708,43,117
48,2.025,43,47
49,0.017,45,46
53,2.336,48,70
57,0.424,54,60
757,0.012,879,882
758,0.014,880,885
759,0.013,880,883
760,0.015,880,883
60,3.134,58,75
61,0.024,59,61
62,2.738,61,67
761,0.018,881,887
1906,0.021,2224,2226
65,2.262,63,102
66,1.077,64,71
67,6.223,65,95
82,2.112,87,127
111,0.347,125,126
1347,0.168,1540,1553
68,1.947,65,88
69,0.491,68,72
95,0.38,102,109
762,0.023,881,887
70,4.841,73,132
71,3.272,76,85
72,0.614,78,90
73,0.002,80,81
96,0.289,102,107
97,0.003,103,104
112,0.324,125,126
74,3.015,81,86
75,0.018,81,82
76,0,82,83
77,0,82,83
78,0.001,82,83
79,0.636,83,84
113,0.444,125,130
838,0.341,969,975
80,7.8,85,152
1348,6.235,1541,1936
83,3.31,89,140
84,1.845,91,92
1364,0.149,1558,1581
1365,0.001,1558,1559
85,2.341,91,98
98,2.451,105,132
99,7.094,108,122
1689,0.102,1970,1976
86,2.408,91,104
87,0.216,92,96
88,0.029,92,93
218,0.676,242,245
89,1.911,94,123
569,0.925,657,658
90,4.839,96,144
91,2.55,96,137
839,0.255,969,971
92,3.86,97,118
93,0.648,99,101
94,0.274,100,104
570,0.917,657,662
100,3.318,110,150
101,5.272,111,142
102,1.676,112,136
103,10.925,113,156
120,2.354,136,158
104,3.487,113,153
105,0.005,114,115
106,2.001,115,142
130,1.935,147,160
571,0.116,659,661
572,1.548,660,668
1907,11.239,2228,2305
1908,4.251,2229,2328
107,4.951,116,152
110,0.714,124,126
1909,0,2229,2229
108,6.784,116,164
109,1.799,119,120
763,0.087,882,882
114,1.817,129,134
115,0.141,131,133
573,0.66,660,670
3148,0.061,3547,3550
116,8.61,132,167
574,0.381,663,669
1877,0.017,2193,2195
117,2.732,133,147
119,2.865,136,149
575,0.52,665,674
3149,30.458,3549,3907
4332,0.199,4829,4842
118,4.343,133,175
222,2.358,246,257
121,3.78,137,144
122,8.141,137,189
123,3.626,138,141
124,2.041,139,147
223,8.106,249,276
5064,0.008,5575,5576
125,1.403,140,146
131,5.226,148,216
636,0.601,732,741
126,1.305,140,144
127,6.338,142,181
128,0,142,143
129,5.77,145,216
4333,0.054,4830,4843
132,3.951,151,205
133,4.372,152,183
134,9.277,153,156
135,1.468,153,155
136,6.089,154,185
137,3.289,156,166
764,0.017,882,886
765,0.013,883,884
138,4.269,157,205
159,1.323,178,206
3150,0.171,3550,3557
139,3.508,159,166
140,3.371,160,161
141,1.466,160,178
142,3.791,162,201
143,5.635,163,196
163,0.772,181,209
164,0.005,182,183
287,4.317,333,349
288,0.566,335,342
144,0.706,165,171
171,0.398,188,203
509,0.289,592,602
5725,0,6324,6325
145,6.678,166,237
146,1.272,167,191
187,0.232,206,211
188,7.073,207,309
189,0.186,208,211
510,0.047,592,594
5065,0.033,5576,5578
147,3.472,167,201
148,0,167,168
149,9.254,169,267
150,4.85,170,250
511,0.56,593,611
4334,0.057,4831,4833
151,0.98,171,177
152,0,171,171
190,1.545,209,213
191,0,209,210
517,0.407,596,598
4335,0,4831,4832
5066,0.009,5577,5578
153,1.248,172,192
154,3.226,173,198
766,0.037,884,888
767,0.021,885,888
155,7.993,174,215
156,0.702,175,185
157,0.739,175,179
192,2.058,209,222
768,0.113,886,888
